iter	Passed	Remaining
1499	19418	6472
1500	19431	6459
1501	19442	6446
1502	19454	6433
1503	19466	6419
1504	19479	6406
1505	19491	6393
1506	19504	6380
1507	19515	6367
1508	19528	6354
1509	19539	6340
1510	19551	6327
1511	19563	6314
1512	19575	6300
1513	19587	6287
1514	19598	6274
1515	19610	6260
1516	19621	6247
1517	19632	6233
1518	19645	6220
1519	19657	6207
1520	19669	6194
1521	19681	6181
1522	19692	6167
1523	19704	6154
1524	19716	6141
1525	19728	6127
1526	19746	6116
1527	19757	6103
1528	19769	6090
1529	19781	6076
1530	19793	6063
1531	19804	6050
1532	19816	6036
1533	19828	6023
1534	19840	6010
1535	19852	5997
1536	19863	5983
1537	19875	5970
1538	19887	5957
1539	19902	5944
1540	19914	5931
1541	19927	5918
1542	19939	5905
1543	19952	5892
1544	19964	5879
1545	19976	5866
1546	19988	5853
1547	19999	5839
1548	20011	5826
1549	20023	5813
1550	20034	5799
1551	20046	5786
1552	20058	5773
1553	20070	5760
1554	20083	5747
1555	20095	5734
1556	20107	5721
1557	20119	5707
1558	20130	5694
1559	20141	5681
1560	20153	5667
1561	20164	5654
1562	20175	5640
1563	20187	5627
1564	20199	5614
1565	20210	5601
1566	20221	5587
1567	20232	5574
1568	20244	5561
1569	20255	5547
1570	20266	5534
1571	20278	5521
1572	20289	5507
1573	20301	5494
1574	20314	5481
1575	20325	5468
1576	20336	5454
1577	20349	5441
1578	20360	5428
1579	20372	5415
1580	20383	5402
1581	20395	5388
1582	20406	5375
1583	20418	5362
1584	20429	5349
1585	20440	5335
1586	20451	5322
1587	20463	5309
1588	20475	5296
1589	20486	5282
1590	20498	5269
1591	20510	5256
1592	20522	5243
1593	20534	5230
1594	20545	5216
1595	20557	5203
1596	20569	5190
1597	20580	5177
1598	20592	5164
1599	20603	5150
1600	20615	5137
1601	20627	5124
1602	20638	5111
1603	20650	5098
1604	20661	5084
1605	20673	5071
1606	20684	5058
1607	20696	5045
1608	20707	5032
1609	20719	5018
1610	20730	5005
1611	20741	4992
1612	20753	4979
1613	20764	4965
1614	20775	4952
1615	20787	4939
1616	20798	4926
1617	20810	4913
1618	20821	4899
1619	20832	4886
1620	20844	4873
1621	20854	4860
1622	20866	4847
1623	20878	4833
1624	20889	4820
1625	20900	4807
1626	20912	4794
1627	20923	4781
1628	20935	4768
1629	20947	4754
1630	20959	4741
1631	20972	4729
1632	20985	4716
1633	20998	4703
1634	21010	4690
1635	21023	4677
1636	21035	4664
1637	21047	4651
1638	21060	4638
1639	21073	4625
1640	21085	4612
1641	21097	4599
1642	21109	4586
1643	21121	4573
1644	21133	4560
1645	21146	4547
1646	21158	4534
1647	21171	4522
1648	21185	4509
1649	21198	4496
1650	21210	4483
1651	21222	4470
1652	21234	4457
1653	21247	4444
1654	21260	4431
1655	21273	4419
1656	21285	4406
1657	21298	4393
1658	21311	4380
1659	21323	4367
1660	21336	4354
1661	21348	4341
1662	21360	4328
1663	21372	4315
